Meter Number,Node Id
Count,Outage.csv
SM10229329,400801
SM10229330,400930
SM10229331,400605
SM10229332,400336
SM10229334,400635
SM10229335,400408
SM10229336,400338
SM10229337,400400
SM10229338,400595
SM10229339,400360
SM10229340,400362
SM10229342,400177
SM10229343,400209
SM10229344,400237
SM10229345,400159
SM10229347,400132
SM10229348,400306
SM10229349,400239
SM10229351,400472
SM10229352,400493
SM10229355,400495
SM10229356,400455
SM10229357,400464
SM10229358,400585
SM10229359,400497
SM10229360,400619
SM10229361,400456
SM10229363,400487
SM10229364,400574
SM10229365,400427
SM10229366,400476
SM10229367,400452
SM10229369,400524
SM10229370,400589
SM10229371,400391
SM10229372,400345
SM10229373,400636
SM10229374,400603
SM10229375,400340
SM10229376,400604
SM10229377,400650
SM10229378,400356
SM10229379,400337
SM10229380,400414
SM10229381,400080
SM10229382,400082
SM10229383,400020
SM10229384,400066
SM10229385,400114
SM10229386,400171
SM10229387,400111
SM10229388,400271
SM10229389,400100
SM10229390,400016
SM10229391,400158
SM10229392,400196
SM10229393,400329
SM10229394,400304
SM10229395,400322
SM10229396,400157
SM10229397,400272
SM10229398,400302
SM10229401,400782
SM10229402,400778
SM10229403,400797
SM10229404,400795
SM10229405,400979
SM10229406,400783
SM10229407,400890
SM10229408,400781
SM10229410,400759
SM10229412,400460
SM10229413,400462
SM10229414,400617
SM10229416,400598
SM10229418,400437
SM10229419,400599
SM10229420,400590
SM10229421,400718
SM10229422,400995
SM10229423,400808
SM10229424,400695
SM10229425,400721
SM10229426,400810
SM10229427,400904
SM10229428,400974
SM10229429,400815
SM10229430,400862
SM10229431,400233
SM10229433,400324
SM10229435,400284
SM10229436,400220
SM10229437,400174
SM10229438,400228
SM10229439,400278
SM10229440,400134
SM10229441,400918
SM10229442,400772
SM10229443,400745
SM10229444,400777
SM10229445,400834
SM10229446,400709
SM10229447,400758
SM10229448,400780
SM10229449,400654
SM10229450,400830
SM10229451,400500
SM10229452,400429
SM10229454,400468
SM10229455,400454
SM10229456,400514
SM10229457,400446
SM10229458,400507
SM10229459,400453
SM10229460,400431
SM10229461,400416
SM10229462,400525
SM10229464,400536
SM10229466,400531
SM10229467,400424
SM10229468,400555
SM10229469,400534
SM10229470,400438
SM10229471,400287
SM10229473,400319
SM10229474,400211
SM10229475,400189
SM10229476,400103
SM10229477,400221
SM10229478,400061
SM10229479,400091
SM10229491,400426
SM10229492,400466
SM10229493,400445
